=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.03.31 10:24:38 =~=~=~=~=~=~=~=~=~=~=~=
Vibration OFF
Down threshold:   f_down_thr = 475
 
Up threshold:   f_up_thr = 64
Up threshold:   f_up_thr = 31
Up threshold:   f_up_thr = 33
 
Up threshold:   f_up_thr = 324
Down threshold:   f_down_thr = 439
Up threshold:   f_up_thr = 377
Trial 1 started
time, up, down, lbl_up, lbl_down
18.9120, 359, 525, 1, 0
18.9370, 362, 517, 1, 0
18.9630, 367, 512, 1, 0
18.9900, 371, 507, 1, 0
19.0150, 375, 503, 1, 0
19.0420, 379, 499, 0, 0
19.0670, 383, 495, 0, 0
19.0930, 388, 490, 0, 0
19.1200, 391, 489, 0, 0
19.1450, 393, 489, 0, 0
19.1720, 393, 487, 0, 0
19.1970, 394, 487, 0, 0
19.2230, 394, 489, 0, 0
19.2500, 394, 492, 0, 0
19.2750, 392, 495, 0, 0
19.3010, 392, 495, 0, 0
19.3270, 391, 496, 0, 0
19.3530, 392, 496, 0, 0
19.3800, 392, 496, 0, 0
19.4050, 391, 496, 0, 0
19.4310, 390, 497, 0, 0
19.4570, 391, 497, 0, 0
19.4830, 391, 497, 0, 0
19.5100, 390, 497, 0, 0
19.5350, 391, 498, 0, 0
19.5610, 390, 498, 0, 0
19.5880, 388, 499, 0, 0
19.6130, 388, 500, 0, 0
19.6400, 388, 500, 0, 0
19.6650, 388, 501, 0, 0
19.6910, 387, 501, 0, 0
19.7180, 382, 503, 0, 0
19.7430, 380, 504, 0, 0
19.7700, 379, 505, 0, 0
19.7950, 375, 506, 1, 0
19.8210, 371, 509, 1, 0
19.8480, 369, 512, 1, 0
19.8730, 366, 513, 1, 0
19.8990, 361, 516, 1, 0
19.9250, 359, 519, 1, 0
19.9510, 358, 521, 1, 0
19.9780, 350, 524, 1, 0
20.0030, 345, 529, 1, 0
20.0290, 346, 530, 1, 0
20.0560, 342, 533, 1, 0
20.0810, 338, 536, 1, 0
20.1080, 338, 539, 1, 0
20.1330, 337, 541, 1, 0
20.1590, 333, 545, 1, 0
20.1860, 334, 547, 1, 0
20.2110, 335, 549, 1, 0
20.2380, 334, 552, 1, 0
20.2630, 332, 555, 1, 0
20.2890, 332, 557, 1, 0
20.3160, 333, 558, 1, 0
20.3410, 334, 559, 1, 0
20.3680, 335, 559, 1, 0
20.3930, 336, 559, 1, 0
20.4190, 337, 559, 1, 0
20.4460, 339, 558, 1, 0
20.4710, 340, 558, 1, 0
20.4970, 341, 558, 1, 0
20.5230, 341, 559, 1, 0
20.5490, 342, 558, 1, 0
20.5760, 342, 558, 1, 0
20.6010, 342, 558, 1, 0
20.6270, 342, 559, 1, 0
20.6540, 343, 558, 1, 0
20.6790, 343, 557, 1, 0
20.7060, 343, 558, 1, 0
20.7310, 343, 557, 1, 0
20.7570, 344, 555, 1, 0
20.7840, 345, 555, 1, 0
20.8090, 345, 554, 1, 0
20.8360, 345, 552, 1, 0
20.8610, 346, 551, 1, 0
20.8870, 347, 550, 1, 0
20.9140, 347, 548, 1, 0
20.9390, 347, 545, 1, 0
20.9650, 349, 544, 1, 0
20.9910, 350, 542, 1, 0
21.0170, 350, 539, 1, 0
21.0440, 352, 533, 1, 0
21.0690, 354, 528, 1, 0
21.0950, 357, 524, 1, 0
21.1210, 358, 522, 1, 0
21.1470, 361, 516, 1, 0
21.1740, 364, 512, 1, 0
21.1990, 367, 509, 1, 0
21.2250, 370, 505, 1, 0
21.2520, 374, 500, 1, 0
21.2770, 377, 496, 0, 0
21.3040, 378, 496, 0, 0
21.3290, 379, 496, 0, 0
21.3550, 381, 492, 0, 0
21.3820, 381, 494, 0, 0
21.4070, 381, 495, 0, 0
21.4340, 382, 493, 0, 0
21.4590, 383, 492, 0, 0
21.4850, 383, 494, 0, 0
21.5120, 384, 496, 0, 0
21.5370, 384, 496, 0, 0
21.5630, 382, 499, 0, 0
21.5890, 380, 502, 0, 0
21.6150, 381, 502, 0, 0
21.6420, 381, 503, 0, 0
21.6670, 382, 503, 0, 0
21.6930, 383, 502, 0, 0
Trial 1 ended
Trial 2 started
time, up, down, lbl_up, lbl_down
0.0000, 412, 479, 0, 0
0.0100, 412, 479, 0, 0
0.0350, 413, 478, 0, 0
0.0600, 413, 479, 0, 0
0.0850, 409, 479, 0, 0
0.1110, 410, 480, 0, 0
0.1350, 411, 480, 0, 0
0.1600, 412, 480, 0, 0
0.1850, 412, 480, 0, 0
0.2100, 413, 480, 0, 0
0.2340, 413, 480, 0, 0
0.2600, 412, 480, 0, 0
0.2850, 410, 482, 0, 0
0.3100, 411, 482, 0, 0
0.3350, 412, 482, 0, 0
0.3590, 409, 482, 0, 0
0.3850, 406, 484, 0, 0
0.4100, 407, 484, 0, 0
0.4340, 409, 485, 0, 0
0.4600, 406, 485, 0, 0
0.4840, 405, 486, 0, 0
0.5100, 403, 487, 0, 0
0.5340, 402, 488, 0, 0
0.5590, 399, 490, 0, 0
0.5850, 398, 491, 0, 0
0.6090, 397, 491, 0, 0
0.6340, 396, 492, 0, 0
0.6590, 394, 493, 0, 0
0.6840, 393, 494, 0, 0
0.7100, 392, 495, 0, 0
0.7340, 393, 496, 0, 0
0.7590, 397, 496, 0, 0
0.7840, 397, 497, 0, 0
0.8090, 396, 497, 0, 0
0.8330, 395, 498, 0, 0
0.8590, 395, 498, 0, 0
0.8840, 397, 498, 0, 0
0.9090, 398, 498, 0, 0
0.9340, 401, 496, 0, 0
0.9580, 405, 494, 0, 0
0.9840, 409, 491, 0, 0
1.0090, 413, 489, 0, 0
1.0330, 415, 489, 0, 0
1.0590, 415, 490, 0, 0
1.0830, 415, 491, 0, 0
1.1090, 415, 492, 0, 0
1.1340, 415, 493, 0, 0
1.1580, 415, 493, 0, 0
1.1840, 415, 494, 0, 0
1.2080, 415, 494, 0, 0
1.2330, 415, 494, 0, 0
1.2580, 414, 494, 0, 0
1.2830, 413, 495, 0, 0
1.3090, 414, 496, 0, 0
1.3330, 414, 495, 0, 0
1.3580, 413, 496, 0, 0
1.3830, 411, 496, 0, 0
1.4080, 412, 497, 0, 0
1.4330, 412, 496, 0, 0
1.4580, 410, 497, 0, 0
1.4830, 411, 497, 0, 0
1.5080, 412, 497, 0, 0
1.5330, 412, 497, 0, 0
1.5570, 412, 497, 0, 0
1.5830, 412, 497, 0, 0
1.6080, 411, 497, 0, 0
1.6320, 411, 497, 0, 0
1.6580, 412, 496, 0, 0
1.6820, 409, 497, 0, 0
1.7080, 408, 497, 0, 0
1.7330, 410, 495, 0, 0
1.7570, 411, 491, 0, 0
1.7830, 411, 491, 0, 0
1.8070, 412, 489, 0, 0
1.8320, 413, 489, 0, 0
1.8570, 413, 486, 0, 0
1.8820, 415, 481, 0, 0
1.9080, 416, 480, 0, 0
1.9320, 415, 484, 0, 0
1.9570, 414, 485, 0, 0
1.9820, 415, 483, 0, 0
2.0070, 414, 484, 0, 0
2.0320, 413, 485, 0, 0
2.0570, 415, 482, 0, 0
2.0820, 416, 479, 0, 0
2.1070, 416, 480, 0, 0
2.1320, 416, 479, 0, 0
2.1560, 417, 476, 0, 0
2.1820, 417, 478, 0, 0
2.2070, 416, 479, 0, 0
2.2310, 416, 481, 0, 0
2.2570, 415, 481, 0, 0
2.2810, 414, 481, 0, 0
2.3070, 414, 482, 0, 0
2.3320, 413, 482, 0, 0
2.3560, 413, 483, 0, 0
2.3820, 412, 483, 0, 0
2.4060, 411, 485, 0, 0
2.4310, 409, 485, 0, 0
2.4570, 409, 486, 0, 0
2.4810, 409, 486, 0, 0
2.5070, 407, 487, 0, 0
2.5310, 405, 488, 0, 0
2.5560, 405, 489, 0, 0
2.5810, 406, 489, 0, 0
2.6060, 406, 490, 0, 0
2.6310, 403, 491, 0, 0
2.6560, 401, 492, 0, 0
2.6810, 399, 493, 0, 0
2.7060, 396, 494, 0, 0
2.7310, 395, 495, 0, 0
2.7560, 395, 496, 0, 0
2.7810, 393, 496, 0, 0
2.8060, 389, 497, 0, 0
2.8300, 389, 498, 0, 0
2.8560, 390, 499, 0, 0
2.8800, 387, 499, 0, 0
2.9060, 382, 500, 0, 0
2.9310, 380, 501, 0, 0
2.9550, 381, 502, 0, 0
2.9810, 376, 503, 1, 0
3.0050, 374, 504, 1, 0
3.0300, 377, 505, 0, 0
3.0560, 379, 505, 0, 0
3.0800, 380, 506, 0, 0
3.1060, 380, 506, 0, 0
3.1300, 379, 506, 0, 0
3.1550, 378, 507, 0, 0
3.1800, 378, 508, 0, 0
3.2050, 377, 508, 0, 0
3.2300, 376, 509, 1, 0
3.2550, 377, 509, 0, 0
3.2800, 378, 510, 0, 0
3.3050, 380, 509, 0, 0
3.3300, 384, 509, 0, 0
3.3550, 388, 508, 0, 0
3.3800, 391, 506, 0, 0
3.4050, 394, 505, 0, 0
3.4290, 395, 505, 0, 0
3.4550, 396, 505, 0, 0
3.4790, 396, 506, 0, 0
3.5050, 396, 506, 0, 0
3.5300, 397, 506, 0, 0
3.5540, 396, 507, 0, 0
3.5800, 396, 508, 0, 0
3.6040, 394, 509, 0, 0
3.6290, 394, 509, 0, 0
3.6550, 394, 509, 0, 0
3.6790, 392, 510, 0, 0
3.7050, 393, 510, 0, 0
3.7290, 393, 510, 0, 0
3.7540, 394, 510, 0, 0
3.7800, 394, 510, 0, 0
3.8040, 394, 510, 0, 0
3.8290, 393, 510, 0, 0
3.8540, 392, 510, 0, 0
3.8790, 392, 510, 0, 0
3.9040, 391, 510, 0, 0
3.9290, 388, 511, 0, 0
3.9540, 389, 510, 0, 0
3.9790, 391, 509, 0, 0
4.0040, 392, 507, 0, 0
4.0280, 394, 505, 0, 0
4.0540, 395, 503, 0, 0
4.0790, 397, 501, 0, 0
4.1040, 399, 497, 0, 0
4.1290, 401, 495, 0, 0
4.1530, 402, 493, 0, 0
4.1790, 404, 490, 0, 0
4.2030, 407, 486, 0, 0
4.2280, 409, 482, 0, 0
4.2540, 410, 484, 0, 0
4.2780, 409, 486, 0, 0
4.3040, 409, 484, 0, 0
4.3280, 410, 483, 0, 0
4.3530, 407, 487, 0, 0
4.3790, 404, 490, 0, 0
4.4030, 402, 490, 0, 0
4.4280, 399, 491, 0, 0
4.4530, 398, 492, 0, 0
4.4780, 401, 492, 0, 0
4.5030, 402, 491, 0, 0
4.5280, 403, 489, 0, 0
4.5530, 403, 490, 0, 0
4.5780, 403, 491, 0, 0
4.6030, 403, 489, 0, 0
4.6270, 403, 488, 0, 0
4.6530, 403, 489, 0, 0
4.6780, 402, 489, 0, 0
4.7030, 402, 489, 0, 0
4.7280, 402, 490, 0, 0
4.7520, 401, 491, 0, 0
4.7780, 401, 492, 0, 0
4.8020, 401, 492, 0, 0
4.8270, 401, 492, 0, 0
4.8530, 401, 492, 0, 0
4.8770, 401, 493, 0, 0
4.9030, 398, 493, 0, 0
4.9270, 395, 495, 0, 0
4.9520, 393, 495, 0, 0
4.9780, 392, 496, 0, 0
5.0020, 388, 497, 0, 0
5.0270, 383, 498, 0, 0
5.0520, 381, 500, 0, 0
5.0770, 381, 501, 0, 0
5.1030, 382, 501, 0, 0
5.1270, 382, 502, 0, 0
5.1520, 379, 503, 0, 0
5.1770, 375, 504, 1, 0
5.2020, 375, 505, 1, 0
5.2260, 374, 505, 1, 0
5.2520, 371, 507, 1, 0
5.2770, 371, 508, 1, 0
5.3020, 372, 508, 1, 0
5.3270, 366, 509, 1, 0
5.3510, 360, 511, 1, 0
5.3770, 360, 513, 1, 0
5.4020, 360, 513, 1, 0
5.4260, 360, 514, 1, 0
5.4520, 362, 515, 1, 0
5.4760, 363, 515, 1, 0
5.5020, 363, 515, 1, 0
5.5260, 361, 516, 1, 0
5.5510, 362, 517, 1, 0
5.5770, 364, 517, 1, 0
5.6010, 365, 518, 1, 0
5.6260, 365, 518, 1, 0
5.6510, 364, 518, 1, 0
5.6760, 365, 518, 1, 0
5.7020, 365, 519, 1, 0
5.7260, 366, 519, 1, 0
5.7510, 367, 518, 1, 0
5.7760, 369, 518, 1, 0
5.8010, 370, 518, 1, 0
5.8250, 372, 517, 1, 0
5.8510, 374, 518, 1, 0
5.8760, 374, 518, 1, 0
5.9010, 375, 518, 1, 0
5.9260, 375, 518, 1, 0
5.9500, 375, 518, 1, 0
5.9760, 375, 518, 1, 0
6.0010, 376, 518, 1, 0
6.0250, 376, 518, 1, 0
6.0510, 376, 519, 1, 0
6.0750, 376, 519, 1, 0
6.1010, 376, 519, 1, 0
6.1260, 376, 519, 1, 0
6.1500, 376, 519, 1, 0
6.1760, 376, 519, 1, 0
6.2000, 376, 519, 1, 0
6.2250, 376, 519, 1, 0
6.2500, 376, 519, 1, 0
6.2750, 376, 518, 1, 0
6.3010, 375, 519, 1, 0
6.3250, 377, 518, 0, 0
6.3500, 377, 515, 0, 0
6.3750, 378, 515, 0, 0
6.4000, 379, 514, 0, 0
6.4250, 380, 509, 0, 0
6.4500, 383, 505, 0, 0
6.4750, 385, 503, 0, 0
6.5000, 389, 499, 0, 0
6.5250, 393, 494, 0, 0
6.5490, 395, 491, 0, 0
6.5750, 397, 488, 0, 0
6.6000, 399, 487, 0, 0
6.6240, 400, 485, 0, 0
6.6500, 401, 483, 0, 0
6.6740, 403, 483, 0, 0
6.7000, 403, 483, 0, 0
6.7250, 403, 483, 0, 0
6.7490, 403, 483, 0, 0
6.7750, 403, 484, 0, 0
6.7990, 402, 484, 0, 0
6.8240, 400, 485, 0, 0
6.8490, 397, 487, 0, 0
6.8740, 398, 488, 0, 0
6.9000, 398, 487, 0, 0
6.9240, 399, 487, 0, 0
6.9490, 400, 485, 0, 0
6.9740, 400, 486, 0, 0
6.9990, 400, 485, 0, 0
7.0240, 400, 484, 0, 0
7.0490, 401, 483, 0, 0
7.0740, 400, 484, 0, 0
7.0990, 400, 485, 0, 0
7.1240, 400, 485, 0, 0
7.1480, 398, 486, 0, 0
7.1740, 398, 487, 0, 0
7.1990, 399, 488, 0, 0
7.2230, 398, 488, 0, 0
7.2490, 396, 490, 0, 0
7.2730, 394, 492, 0, 0
7.2990, 392, 494, 0, 0
7.3240, 388, 495, 0, 0
7.3480, 386, 496, 0, 0
7.3740, 385, 497, 0, 0
7.3980, 381, 499, 0, 0
7.4230, 375, 501, 1, 0
7.4490, 374, 503, 1, 0
7.4730, 371, 504, 1, 0
7.4990, 363, 507, 1, 0
7.5230, 359, 510, 1, 0
7.5480, 361, 511, 1, 0
7.5730, 359, 512, 1, 0
7.5980, 350, 515, 1, 0
7.6230, 348, 518, 1, 0
7.6480, 348, 520, 1, 0
7.6730, 345, 522, 1, 0
7.6980, 341, 525, 1, 0
7.7230, 342, 527, 1, 0
7.7480, 344, 528, 1, 0
7.7730, 345, 528, 1, 0
7.7980, 343, 529, 1, 0
7.8220, 343, 530, 1, 0
7.8480, 344, 531, 1, 0
7.8720, 346, 532, 1, 0
7.8980, 347, 532, 1, 0
7.9230, 346, 532, 1, 0
7.9470, 348, 533, 1, 0
7.9730, 348, 533, 1, 0
7.9970, 349, 533, 1, 0
8.0220, 350, 532, 1, 0
8.0480, 352, 532, 1, 0
8.0720, 352, 532, 1, 0
8.0980, 352, 532, 1, 0
8.1220, 353, 532, 1, 0
8.1470, 353, 533, 1, 0
8.1720, 352, 534, 1, 0
8.1970, 353, 533, 1, 0
8.2220, 354, 533, 1, 0
8.2470, 356, 532, 1, 0
8.2720, 356, 532, 1, 0
8.2970, 357, 532, 1, 0
8.3220, 357, 531, 1, 0
8.3470, 358, 531, 1, 0
8.3720, 359, 530, 1, 0
8.3970, 360, 530, 1, 0
8.4210, 360, 530, 1, 0
8.4470, 361, 528, 1, 0
8.4710, 362, 527, 1, 0
8.4970, 363, 526, 1, 0
8.5220, 363, 526, 1, 0
8.5460, 365, 521, 1, 0
8.5720, 368, 517, 1, 0
8.5960, 369, 516, 1, 0
8.6210, 370, 516, 1, 0
8.6470, 370, 514, 1, 0
8.6710, 372, 513, 1, 0
8.6970, 374, 510, 1, 0
8.7210, 376, 507, 1, 0
8.7460, 379, 504, 0, 0
8.7720, 382, 500, 0, 0
8.7960, 384, 497, 0, 0
8.8210, 386, 496, 0, 0
8.8460, 386, 495, 0, 0
8.8710, 387, 494, 0, 0
8.8960, 388, 491, 0, 0
8.9210, 390, 487, 0, 0
8.9460, 391, 486, 0, 0
8.9710, 390, 486, 0, 0
8.9960, 390, 485, 0, 0
9.0200, 389, 486, 0, 0
9.0460, 388, 488, 0, 0
9.0710, 389, 489, 0, 0
9.0960, 389, 489, 0, 0
9.1210, 387, 490, 0, 0
9.1450, 388, 490, 0, 0
9.1710, 389, 489, 0, 0
9.1950, 390, 489, 0, 0
9.2200, 389, 490, 0, 0
9.2460, 389, 491, 0, 0
9.2700, 388, 491, 0, 0
9.2960, 387, 491, 0, 0
9.3200, 387, 491, 0, 0
9.3450, 384, 493, 0, 0
9.3710, 383, 494, 0, 0
9.3950, 384, 495, 0, 0
9.4200, 385, 495, 0, 0
9.4450, 383, 496, 0, 0
9.4700, 381, 498, 0, 0
9.4950, 381, 499, 0, 0
9.5200, 381, 500, 0, 0
9.5450, 380, 501, 0, 0
9.5700, 377, 502, 0, 0
9.5950, 375, 505, 1, 0
9.6190, 374, 506, 1, 0
9.6450, 374, 507, 1, 0
9.6700, 375, 508, 1, 0
9.6950, 371, 509, 1, 0
9.7200, 369, 511, 1, 0
9.7440, 369, 512, 1, 0
9.7700, 368, 513, 1, 0
9.7940, 365, 516, 1, 0
9.8190, 365, 517, 1, 0
9.8450, 367, 518, 1, 0
9.8690, 368, 518, 1, 0
9.8950, 363, 520, 1, 0
9.9190, 361, 522, 1, 0
9.9440, 362, 524, 1, 0
9.9700, 361, 524, 1, 0
9.9940, 361, 525, 1, 0
10.0190, 360, 526, 1, 0
10.0450, 360, 527, 1, 0
10.0710, 360, 528, 1, 0
10.0980, 360, 528, 1, 0
10.1230, 360, 529, 1, 0
10.1490, 361, 529, 1, 0
10.1750, 363, 529, 1, 0
10.2010, 365, 528, 1, 0
10.2280, 367, 528, 1, 0
10.2530, 368, 528, 1, 0
10.2790, 368, 528, 1, 0
10.3050, 368, 528, 1, 0
10.3310, 369, 529, 1, 0
10.3570, 368, 529, 1, 0
10.3830, 370, 528, 1, 0
10.4090, 371, 527, 1, 0
10.4360, 371, 528, 1, 0
10.4610, 371, 528, 1, 0
10.4870, 371, 528, 1, 0
10.5130, 371, 528, 1, 0
10.5390, 373, 527, 1, 0
10.5660, 374, 525, 1, 0
10.5910, 374, 525, 1, 0
10.6170, 375, 525, 1, 0
10.6430, 375, 525, 1, 0
10.6690, 375, 525, 1, 0
10.6960, 374, 525, 1, 0
10.7210, 375, 522, 1, 0
10.7470, 376, 520, 1, 0
10.7730, 377, 520, 0, 0
10.7990, 378, 517, 0, 0
10.8250, 378, 517, 0, 0
10.8510, 379, 515, 0, 0
10.8770, 380, 512, 0, 0
10.9030, 381, 511, 0, 0
10.9290, 382, 509, 0, 0
10.9550, 383, 505, 0, 0
10.9810, 385, 504, 0, 0
11.0070, 384, 503, 0, 0
11.0340, 385, 500, 0, 0
11.0590, 386, 499, 0, 0
11.0850, 386, 499, 0, 0
11.1110, 386, 495, 0, 0
11.1370, 387, 495, 0, 0
11.1640, 386, 495, 0, 0
11.1890, 385, 495, 0, 0
11.2150, 385, 495, 0, 0
11.2410, 385, 496, 0, 0
11.2670, 385, 495, 0, 0
11.2940, 386, 494, 0, 0
11.3190, 386, 495, 0, 0
11.3450, 385, 496, 0, 0
11.3710, 385, 496, 0, 0
11.3970, 385, 495, 0, 0
11.4230, 384, 495, 0, 0
11.4490, 384, 495, 0, 0
11.4750, 382, 496, 0, 0
11.5020, 381, 497, 0, 0
11.5270, 381, 497, 0, 0
11.5530, 382, 497, 0, 0
11.5790, 381, 498, 0, 0
11.6050, 381, 499, 0, 0
11.6320, 380, 501, 0, 0
11.6570, 377, 503, 0, 0
11.6830, 376, 504, 1, 0
11.7090, 378, 505, 0, 0
11.7350, 376, 505, 1, 0
11.7620, 370, 508, 1, 0
11.7870, 369, 511, 1, 0
11.8130, 370, 511, 1, 0
11.8390, 370, 512, 1, 0
11.8650, 367, 513, 1, 0
11.8920, 367, 514, 1, 0
11.9170, 364, 516, 1, 0
11.9430, 357, 519, 1, 0
11.9690, 354, 522, 1, 0
11.9950, 355, 523, 1, 0
12.0210, 356, 524, 1, 0
12.0470, 355, 525, 1, 0
12.0730, 355, 527, 1, 0
12.1000, 354, 527, 1, 0
12.1250, 353, 529, 1, 0
12.1510, 352, 530, 1, 0
12.1770, 352, 531, 1, 0
12.2030, 352, 532, 1, 0
12.2300, 353, 532, 1, 0
12.2550, 354, 532, 1, 0
12.2810, 356, 532, 1, 0
12.3070, 358, 532, 1, 0
12.3330, 360, 531, 1, 0
12.3600, 362, 531, 1, 0
12.3850, 362, 532, 1, 0
12.4110, 362, 532, 1, 0
12.4370, 363, 531, 1, 0
12.4630, 365, 531, 1, 0
12.4890, 366, 531, 1, 0
12.5150, 366, 531, 1, 0
12.5410, 367, 530, 1, 0
12.5670, 368, 531, 1, 0
12.5930, 367, 530, 1, 0
12.6190, 368, 530, 1, 0
12.6450, 368, 530, 1, 0
12.6710, 368, 530, 1, 0
12.6980, 368, 531, 1, 0
12.7230, 368, 530, 1, 0
12.7490, 368, 529, 1, 0
12.7750, 368, 529, 1, 0
12.8010, 369, 529, 1, 0
12.8280, 369, 527, 1, 0
12.8530, 370, 525, 1, 0
12.8790, 370, 522, 1, 0
12.9050, 372, 520, 1, 0
12.9310, 373, 516, 1, 0
12.9580, 376, 511, 1, 0
12.9830, 378, 509, 0, 0
13.0090, 379, 508, 0, 0
13.0350, 381, 504, 0, 0
13.0610, 384, 500, 0, 0
13.0870, 387, 497, 0, 0
13.1130, 388, 494, 0, 0
13.1390, 389, 495, 0, 0
13.1660, 390, 497, 0, 0
13.1910, 390, 497, 0, 0
13.2170, 390, 496, 0, 0
13.2430, 390, 497, 0, 0
13.2690, 389, 496, 0, 0
13.2960, 388, 497, 0, 0
13.3210, 386, 498, 0, 0
13.3470, 386, 497, 0, 0
13.3730, 387, 497, 0, 0
13.3990, 385, 498, 0, 0
13.4260, 386, 498, 0, 0
13.4510, 387, 497, 0, 0
13.4770, 386, 497, 0, 0
13.5030, 386, 497, 0, 0
13.5290, 385, 499, 0, 0
13.5560, 383, 499, 0, 0
13.5810, 382, 500, 0, 0
13.6070, 382, 500, 0, 0
13.6330, 380, 501, 0, 0
13.6590, 378, 502, 0, 0
13.6850, 378, 503, 0, 0
13.7110, 377, 505, 0, 0
13.7370, 372, 507, 1, 0
13.7640, 370, 509, 1, 0
13.7890, 371, 509, 1, 0
13.8150, 371, 510, 1, 0
13.8410, 369, 511, 1, 0
13.8670, 368, 512, 1, 0
13.8940, 366, 513, 1, 0
13.9190, 363, 515, 1, 0
13.9450, 363, 517, 1, 0
13.9710, 364, 517, 1, 0
13.9970, 363, 517, 1, 0
14.0240, 361, 518, 1, 0
14.0490, 362, 519, 1, 0
14.0750, 364, 520, 1, 0
14.1010, 364, 521, 1, 0
14.1270, 361, 522, 1, 0
14.1530, 359, 524, 1, 0
14.1790, 359, 525, 1, 0
14.2050, 358, 527, 1, 0
14.2310, 355, 529, 1, 0
14.2570, 355, 530, 1, 0
14.2830, 354, 531, 1, 0
14.3090, 353, 532, 1, 0
14.3350, 353, 533, 1, 0
14.3620, 352, 533, 1, 0
14.3870, 354, 534, 1, 0
14.4130, 355, 534, 1, 0
14.4390, 356, 533, 1, 0
14.4650, 358, 532, 1, 0
14.4920, 361, 532, 1, 0
14.5170, 361, 532, 1, 0
14.5430, 362, 532, 1, 0
14.5690, 363, 532, 1, 0
14.5950, 364, 533, 1, 0
14.6220, 364, 533, 1, 0
14.6470, 364, 533, 1, 0
14.6730, 365, 533, 1, 0
14.6990, 365, 532, 1, 0
14.7250, 365, 533, 1, 0
14.7510, 365, 533, 1, 0
14.7770, 365, 531, 1, 0
14.8030, 366, 531, 1, 0
14.8300, 367, 531, 1, 0
14.8550, 369, 528, 1, 0
14.8810, 370, 528, 1, 0
14.9070, 369, 530, 1, 0
14.9330, 369, 529, 1, 0
14.9600, 371, 525, 1, 0
14.9850, 372, 522, 1, 0
15.0110, 373, 519, 1, 0
15.0370, 374, 520, 1, 0
15.0630, 375, 521, 1, 0
15.0900, 374, 519, 1, 0
15.1150, 374, 517, 1, 0
15.1410, 375, 517, 1, 0
15.1670, 376, 514, 1, 0
15.1930, 376, 513, 1, 0
15.2200, 377, 511, 0, 0
15.2450, 378, 509, 0, 0
15.2710, 378, 507, 0, 0
15.2970, 379, 506, 0, 0
15.3230, 379, 504, 0, 0
15.3490, 380, 501, 0, 0
15.3750, 379, 500, 0, 0
15.4010, 379, 501, 0, 0
15.4280, 377, 502, 0, 0
15.4530, 377, 503, 0, 0
15.4790, 376, 501, 1, 0
15.5050, 376, 500, 1, 0
15.5310, 376, 501, 1, 0
15.5580, 376, 501, 1, 0
15.5830, 376, 501, 1, 0
15.6090, 375, 502, 1, 0
15.6350, 374, 502, 1, 0
15.6610, 372, 503, 1, 0
15.6880, 370, 505, 1, 0
15.7130, 371, 505, 1, 0
15.7390, 371, 504, 1, 0
15.7650, 371, 505, 1, 0
15.7910, 370, 505, 1, 0
15.8170, 370, 507, 1, 0
15.8430, 369, 507, 1, 0
15.8690, 370, 507, 1, 0
15.8950, 369, 508, 1, 0
15.9210, 367, 510, 1, 0
15.9470, 365, 512, 1, 0
15.9730, 363, 514, 1, 0
15.9990, 363, 515, 1, 0
16.0260, 363, 516, 1, 0
16.0510, 360, 517, 1, 0
16.0770, 358, 519, 1, 0
16.1030, 357, 520, 1, 0
16.1290, 354, 523, 1, 0
16.1560, 351, 525, 1, 0
16.1810, 350, 527, 1, 0
16.2070, 352, 528, 1, 0
16.2330, 350, 529, 1, 0
16.2590, 346, 531, 1, 0
16.2860, 345, 533, 1, 0
16.3110, 345, 534, 1, 0
16.3370, 344, 536, 1, 0
16.3630, 343, 537, 1, 0
16.3890, 344, 538, 1, 0
16.4150, 344, 539, 1, 0
16.4410, 342, 541, 1, 0
16.4670, 342, 542, 1, 0
16.4940, 343, 543, 1, 0
16.5190, 342, 543, 1, 0
16.5450, 342, 543, 1, 0
16.5710, 343, 543, 1, 0
16.5970, 345, 543, 1, 0
16.6240, 346, 543, 1, 0
16.6490, 347, 543, 1, 0
16.6750, 347, 543, 1, 0
16.7010, 348, 543, 1, 0
16.7270, 348, 544, 1, 0
16.7540, 349, 543, 1, 0
16.7790, 349, 543, 1, 0
16.8050, 350, 543, 1, 0
16.8310, 350, 543, 1, 0
16.8570, 350, 542, 1, 0
16.8840, 350, 542, 1, 0
16.9090, 351, 541, 1, 0
16.9350, 352, 540, 1, 0
16.9610, 354, 538, 1, 0
16.9870, 356, 537, 1, 0
17.0130, 357, 534, 1, 0
17.0390, 358, 532, 1, 0
17.0650, 359, 531, 1, 0
17.0920, 359, 530, 1, 0
17.1170, 360, 528, 1, 0
17.1430, 362, 525, 1, 0
17.1690, 363, 524, 1, 0
17.1950, 365, 521, 1, 0
17.2220, 368, 516, 1, 0
17.2470, 372, 512, 1, 0
17.2730, 373, 511, 1, 0
17.2990, 373, 512, 1, 0
17.3250, 373, 512, 1, 0
17.3520, 373, 512, 1, 0
17.3770, 373, 509, 1, 0
17.4030, 374, 508, 1, 0
17.4290, 373, 508, 1, 0
17.4550, 372, 508, 1, 0
17.4810, 373, 507, 1, 0
17.5070, 372, 507, 1, 0
17.5330, 372, 507, 1, 0
17.5590, 371, 506, 1, 0
17.5850, 370, 506, 1, 0
17.6110, 369, 507, 1, 0
17.6370, 370, 506, 1, 0
17.6630, 370, 506, 1, 0
17.6900, 369, 507, 1, 0
17.7150, 368, 508, 1, 0
17.7410, 368, 508, 1, 0
