=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.03.31 10:24:38 =~=~=~=~=~=~=~=~=~=~=~=
Vibration OFF
Down threshold:   f_down_thr = 475
 
Up threshold:   f_up_thr = 64
Up threshold:   f_up_thr = 31
Up threshold:   f_up_thr = 33
 
Up threshold:   f_up_thr = 324
Down threshold:   f_down_thr = 439
Up threshold:   f_up_thr = 377
Trial 1 started
time, up, down, lbl_up, lbl_down
4.3530, 421, 486, 0, 0
4.3780, 419, 488, 0, 0
4.4040, 419, 489, 0, 0
4.4280, 420, 490, 0, 0
4.4530, 419, 491, 0, 0
4.4780, 419, 492, 0, 0
4.5030, 419, 492, 0, 0
4.5290, 419, 491, 0, 0
4.5530, 419, 491, 0, 0
4.5780, 418, 491, 0, 0
4.6030, 418, 491, 0, 0
4.6280, 417, 492, 0, 0
4.6520, 416, 492, 0, 0
4.6780, 416, 492, 0, 0
4.7030, 415, 493, 0, 0
4.7280, 416, 492, 0, 0
4.7530, 416, 492, 0, 0
4.7770, 416, 493, 0, 0
4.8030, 414, 493, 0, 0
4.8280, 413, 494, 0, 0
4.8520, 414, 494, 0, 0
4.8780, 414, 494, 0, 0
4.9020, 412, 495, 0, 0
4.9280, 410, 495, 0, 0
4.9530, 408, 496, 0, 0
4.9770, 406, 497, 0, 0
5.0030, 403, 497, 0, 0
5.0270, 402, 498, 0, 0
5.0520, 402, 499, 0, 0
5.0770, 401, 499, 0, 0
5.1020, 399, 500, 0, 0
5.1280, 399, 501, 0, 0
5.1520, 398, 501, 0, 0
5.1770, 391, 503, 0, 0
5.2020, 386, 506, 0, 0
5.2270, 387, 507, 0, 0
5.2520, 389, 507, 0, 0
5.2770, 387, 507, 0, 0
5.3020, 385, 509, 0, 0
5.3270, 385, 510, 0, 0
5.3520, 382, 511, 0, 0
5.3760, 380, 512, 0, 0
5.4020, 381, 513, 0, 0
5.4270, 383, 513, 0, 0
5.4510, 382, 513, 0, 0
5.4770, 382, 514, 0, 0
5.5010, 383, 514, 0, 0
5.5270, 384, 514, 0, 0
5.5520, 385, 514, 0, 0
5.5760, 387, 514, 0, 0
5.6020, 388, 514, 0, 0
5.6260, 388, 514, 0, 0
5.6510, 389, 514, 0, 0
5.6760, 389, 514, 0, 0
5.7010, 389, 515, 0, 0
5.7270, 389, 514, 0, 0
